Date,Closing_Price
2021-03-29,182.5
2021-03-30,183.1
2021-03-31,187.94
2021-04-01,188.24
2021-04-05,186.69
2021-04-06,190.03
2021-04-07,179.94
2021-04-08,180.18
2021-04-09,179.5
2021-04-12,176.49
2021-04-13,177.95
2021-04-14,176.43
2021-04-15,175.35
2021-04-16,178.69
2021-04-19,174.58
2021-04-20,169.57
2021-04-21,167.07
2021-04-22,170.71
2021-04-23,174.25
2021-04-26,174.88
2021-04-27,177.94
2021-04-28,180
2021-04-29,177.68
2021-04-30,172.71
2021-05-03,168.11
2021-05-04,168.9
2021-05-05,162.33
2021-05-06,153.64
2021-05-07,151.21
2021-05-10,146.73
2021-05-11,142.73
2021-05-12,140.25
2021-05-13,135.75
2021-05-14,141.2
2021-05-17,132.5
2021-05-18,135.02
2021-05-19,138.19
2021-05-20,136.2
2021-05-21,134.71
2021-05-24,135.91
2021-05-25,133.99
2021-05-26,134.75
2021-05-27,143.17
2021-05-28,140.4
2021-06-01,144.31
2021-06-02,151
2021-06-03,144.19
2021-06-04,150.73
2021-06-07,148.97
2021-06-08,147.01
2021-06-09,144.85
2021-06-10,146.12
2021-06-11,148.44
2021-06-14,149.21
2021-06-15,151.78
2021-06-16,149.15
2021-06-17,150.7
2021-06-18,152.52
2021-06-21,149.7
2021-06-22,149.68
2021-06-23,151.58
2021-06-24,150.73
2021-06-25,149.67
2021-06-28,149.94
2021-06-29,146.08
2021-06-30,153.14
2021-07-01,153.08
2021-07-02,150.23
2021-07-06,148.37
2021-07-07,143.72
2021-07-08,142.53
2021-07-09,149.64
2021-07-12,146.69
2021-07-13,143.41
2021-07-14,139.09
2021-07-15,137.5
2021-07-16,134.31
2021-07-19,131.88
2021-07-20,136.09
2021-07-21,139.25
2021-07-22,139.47
2021-07-23,138.73
2021-07-26,142
2021-07-27,141.58
2021-07-28,143.3
2021-07-29,143.47
2021-07-30,144.01
2021-08-02,145.49
2021-08-03,145.65
2021-08-04,147.4
2021-08-05,150.32
2021-08-06,149.99
2021-08-09,149.44
2021-08-10,147.95
2021-08-11,148.16
2021-08-12,151.15
2021-08-13,152.76
2021-08-16,148.57
2021-08-17,143.9
2021-08-18,146.74
2021-08-19,142.65
2021-08-20,143.7
2021-08-23,146.79
2021-08-24,161.42
2021-08-25,160.35
2021-08-26,152.73
2021-08-27,154.18
2021-08-30,156.02
2021-08-31,154.99
2021-09-01,156.59
2021-09-02,157.2
2021-09-03,158
2021-09-07,165
2021-09-08,163.93
2021-09-09,166
2021-09-10,165.2
2021-09-13,160.32
2021-09-14,163.3
2021-09-15,166.37
2021-09-16,168.15
2021-09-17,166.59
2021-09-20,161.64
2021-09-21,169.29
2021-09-22,169.96
2021-09-23,175.13
2021-09-24,175.88
2021-09-27,174.26
2021-09-28,168.58
2021-09-29,168.07
2021-09-30,167.75
2021-10-01,173.01
2021-10-04,164.5
2021-10-05,164.74
2021-10-06,167.25
2021-10-07,169.6
2021-10-08,169.97
2021-10-11,166.67
2021-10-12,172.75
2021-10-13,173.58
2021-10-14,170.5
2021-10-15,169.18
2021-10-18,172.32
2021-10-19,170.74
2021-10-20,169.76
2021-10-21,170.5
2021-10-22,166.64
2021-10-25,169.24
2021-10-26,171.14
2021-10-27,169.1
2021-10-28,171.7
2021-10-29,170.66
2021-11-01,174.6
2021-11-02,172.87
2021-11-03,172.87
2021-11-04,178.45
2021-11-05,201.62
2021-11-08,200.32
2021-11-09,194.68
2021-11-10,192.22
2021-11-11,191.61
2021-11-12,206.54
2021-11-15,207.21
2021-11-16,207.04
2021-11-17,199.11
2021-11-18,204.33
2021-11-19,196.42
2021-11-22,181.73
2021-11-23,178.27
2021-11-24,179.89
2021-11-26,173.86
2021-11-29,180.08
2021-11-30,172.54
2021-12-01,163.08
2021-12-02,169.6
2021-12-03,166.75
2021-12-06,180.85
2021-12-07,183.14
2021-12-08,186.49
2021-12-09,181.46
2021-12-10,180.42
2021-12-13,171.04
2021-12-14,167.96
2021-12-15,168.14
2021-12-16,156.38
2021-12-17,157.91
2021-12-20,157.23
2021-12-21,165.66
2021-12-22,169.29
2021-12-23,171.31
2021-12-27,171.68
2021-12-28,169.71
2021-12-29,167.44
2021-12-30,168.78
2021-12-31,166.49
2022-01-03,172.68
2022-01-04,170.8
2022-01-05,162.25
2022-01-06,159.75
2022-01-07,166.05
2022-01-10,160.71
2022-01-11,168.61
2022-01-12,169.54
2022-01-13,166
2022-01-14,163.99
2022-01-18,154.69
2022-01-19,154.58
2022-01-20,158
2022-01-21,156.73
2022-01-24,147.9
2022-01-25,144.56
2022-01-26,142.14
2022-01-27,138.41
2022-01-28,142.77
2022-01-31,153.97
2022-02-01,156.94
2022-02-02,151.76
2022-02-03,149.57
2022-02-04,155.56
2022-02-07,157.91
2022-02-08,162.26
2022-02-09,169.53
2022-02-10,171.95
2022-02-11,166.53
2022-02-14,169.66
2022-02-15,180.07
2022-02-16,186.64
2022-02-17,183.6
2022-02-18,174.9
2022-02-22,165.24
2022-02-23,150.04
2022-02-24,158.26
2022-02-25,155.09
2022-02-28,151.49
2022-03-01,151.01
2022-03-02,157.53
2022-03-03,151.69
2022-03-04,142.7
2022-03-07,131.59
2022-03-08,142.13
2022-03-09,148.31
2022-03-10,151.8
2022-03-11,145.14
2022-03-14,138.5
2022-03-15,143.95
2022-03-16,155.75
2022-03-17,157.55
2022-03-18,167
2022-03-21,161.8
2022-03-22,166.44
2022-03-23,164.16
2022-03-24,170.83
2022-03-25,167.22
